"","station_id","year","extreme_type","month","day","flow","sym"
"1","05BB001",1909,"maximum",7,7,314,NA
"2","05BB001",1910,"maximum",6,12,230,NA
"3","05BB001",1911,"maximum",6,14,264,NA
"4","05BB001",1912,"maximum",8,25,174,NA
"5","05BB001",1913,"maximum",6,11,232,NA
"6","05BB001",1914,"maximum",6,18,214,NA
"7","05BB001",1915,"maximum",6,27,236,NA
"8","05BB001",1916,"maximum",6,20,309,NA
"9","05BB001",1917,"maximum",6,17,174,NA
"10","05BB001",1918,"maximum",6,15,345,NA
"11","05BB001",1919,"maximum",6,22,185,NA
"12","05BB001",1920,"maximum",7,3,248,NA
"13","05BB001",1921,"maximum",6,9,171,NA
"14","05BB001",1922,"maximum",6,5,209,NA
"15","05BB001",1923,"maximum",6,14,377,NA
"16","05BB001",1924,"maximum",7,5,167,NA
"17","05BB001",1925,"maximum",5,23,212,NA
"18","05BB001",1926,"maximum",7,7,130,NA
"19","05BB001",1927,"maximum",6,27,221,NA
"20","05BB001",1928,"maximum",5,28,289,NA
"21","05BB001",1929,"maximum",6,2,215,NA
"22","05BB001",1930,"maximum",6,8,263,NA
"23","05BB001",1931,"maximum",6,18,187,NA
"24","05BB001",1932,"maximum",6,3,279,NA
"25","05BB001",1933,"maximum",6,17,311,NA
"26","05BB001",1934,"maximum",5,31,269,NA
"27","05BB001",1935,"maximum",6,16,197,NA
"28","05BB001",1936,"maximum",6,1,219,NA
"29","05BB001",1937,"maximum",6,17,148,NA
"30","05BB001",1938,"maximum",6,23,220,NA
"31","05BB001",1939,"maximum",5,29,178,NA
"32","05BB001",1940,"maximum",5,26,204,NA
"33","05BB001",1941,"maximum",6,25,126,NA
"34","05BB001",1942,"maximum",7,5,166,NA
"35","05BB001",1943,"maximum",7,10,209,NA
"36","05BB001",1944,"maximum",6,12,158,NA
"37","05BB001",1945,"maximum",6,22,126,NA
"38","05BB001",1946,"maximum",5,29,204,NA
"39","05BB001",1947,"maximum",6,11,167,NA
"40","05BB001",1948,"maximum",6,9,292,NA
"41","05BB001",1949,"maximum",6,7,121,NA
"42","05BB001",1950,"maximum",6,21,286,NA
"43","05BB001",1951,"maximum",6,16,243,NA
"44","05BB001",1952,"maximum",6,30,155,NA
"45","05BB001",1953,"maximum",6,14,260,NA
"46","05BB001",1954,"maximum",7,8,286,NA
"47","05BB001",1955,"maximum",6,24,246,NA
"48","05BB001",1956,"maximum",6,5,257,NA
"49","05BB001",1957,"maximum",5,20,152,NA
"50","05BB001",1958,"maximum",5,26,191,NA
"51","05BB001",1959,"maximum",6,22,212,NA
"52","05BB001",1960,"maximum",7,1,182,NA
"53","05BB001",1961,"maximum",6,7,266,NA
"54","05BB001",1962,"maximum",6,26,184,NA
"55","05BB001",1963,"maximum",6,19,183,NA
"56","05BB001",1964,"maximum",6,14,246,NA
"57","05BB001",1965,"maximum",6,19,289,NA
"58","05BB001",1966,"maximum",6,1,225,NA
"59","05BB001",1967,"maximum",6,22,275,NA
"60","05BB001",1968,"maximum",6,27,191,NA
"61","05BB001",1969,"maximum",6,6,203,NA
"62","05BB001",1970,"maximum",6,5,155,NA
"63","05BB001",1971,"maximum",6,7,199,NA
"64","05BB001",1972,"maximum",6,12,311,NA
"65","05BB001",1973,"maximum",6,24,215,NA
"66","05BB001",1974,"maximum",6,25,317,NA
"67","05BB001",1975,"maximum",7,14,144,NA
"68","05BB001",1976,"maximum",7,1,191,NA
"69","05BB001",1977,"maximum",6,9,207,NA
"70","05BB001",1978,"maximum",6,6,189,NA
"71","05BB001",1979,"maximum",6,13,150,NA
"72","05BB001",1980,"maximum",5,22,190,NA
"73","05BB001",1981,"maximum",5,27,227,NA
"74","05BB001",1982,"maximum",6,22,192,NA
"75","05BB001",1983,"maximum",5,31,155,NA
"76","05BB001",1984,"maximum",6,30,220,"E"
"77","05BB001",1985,"maximum",5,25,160,NA
"78","05BB001",1986,"maximum",6,2,313,NA
"79","05BB001",1987,"maximum",6,17,146,"A"
"80","05BB001",1988,"maximum",6,8,244,NA
"81","05BB001",1989,"maximum",6,16,208,NA
"82","05BB001",1990,"maximum",6,25,239,NA
"83","05BB001",1991,"maximum",7,4,242,NA
"84","05BB001",1992,"maximum",6,13,131,NA
"85","05BB001",1993,"maximum",6,2,128,NA
"86","05BB001",1994,"maximum",6,27,147,"A"
"87","05BB001",1995,"maximum",6,7,263,NA
"88","05BB001",1996,"maximum",6,9,231,NA
"89","05BB001",1997,"maximum",6,6,213,NA
"90","05BB001",1998,"maximum",5,28,133,NA
"91","05BB001",1999,"maximum",6,19,205,NA
"92","05BB001",2000,"maximum",7,2,153,NA
"93","05BB001",2001,"maximum",5,29,165,NA
"94","05BB001",2002,"maximum",6,29,226,NA
"95","05BB001",2003,"maximum",6,11,164,NA
"96","05BB001",2004,"maximum",6,12,162,NA
"97","05BB001",2005,"maximum",6,23,167,NA
"98","05BB001",2006,"maximum",5,21,168,NA
"99","05BB001",2007,"maximum",6,7,298,NA
"100","05BB001",2008,"maximum",7,1,163,NA
"101","05BB001",2009,"maximum",6,17,143,NA
"102","05BB001",2010,"maximum",6,30,138,NA
"103","05BB001",2011,"maximum",6,23,179,NA
"104","05BB001",2012,"maximum",6,7,332,NA
"105","05BB001",2013,"maximum",6,21,466,NA
"106","05BB001",2014,"maximum",6,26,178,NA
"107","05BB001",2015,"maximum",6,9,151,NA
"108","05BB001",2016,"maximum",6,8,107,NA
"109","05BB001",2018,"maximum",5,27,199,NA
"110","05BB001",1909,"minimum",NA,NA,NA,NA
"111","05BB001",1910,"minimum",NA,NA,NA,NA
"112","05BB001",1911,"minimum",2,27,5.75,NA
"113","05BB001",1912,"minimum",3,14,5.8,NA
"114","05BB001",1913,"minimum",3,18,6.12,"B"
"115","05BB001",1914,"minimum",11,17,7.16,NA
"116","05BB001",1915,"minimum",1,27,6.94,NA
"117","05BB001",1916,"minimum",3,2,6.97,"B"
"118","05BB001",1917,"minimum",2,23,6.06,"B"
"119","05BB001",1918,"minimum",2,20,6.03,"B"
"120","05BB001",1919,"minimum",2,28,4.56,"B"
"121","05BB001",1920,"minimum",4,3,5.69,"B"
"122","05BB001",1921,"minimum",3,11,6.37,"B"
"123","05BB001",1922,"minimum",3,27,6.57,"B"
"124","05BB001",1923,"minimum",12,20,6.43,"E"
"125","05BB001",1924,"minimum",4,20,6.26,NA
"126","05BB001",1925,"minimum",12,31,5.44,"B"
"127","05BB001",1926,"minimum",4,5,5.52,"B"
"128","05BB001",1927,"minimum",2,17,6.48,"B"
"129","05BB001",1928,"minimum",12,29,6.09,"B"
"130","05BB001",1929,"minimum",4,8,4.9,"B"
"131","05BB001",1930,"minimum",12,29,6,"B"
"132","05BB001",1931,"minimum",3,26,4.7,"B"
"133","05BB001",1932,"minimum",1,5,3.62,"B"
"134","05BB001",1933,"minimum",12,26,5.27,"B"
"135","05BB001",1934,"minimum",2,26,4.08,"B"
"136","05BB001",1935,"minimum",12,19,5.95,"B"
"137","05BB001",1936,"minimum",2,16,5.64,"B"
"138","05BB001",1937,"minimum",2,14,5.15,"B"
"139","05BB001",1938,"minimum",2,15,6.63,"B"
"140","05BB001",1939,"minimum",2,10,5.49,"B"
"141","05BB001",1940,"minimum",3,12,6.43,"B"
"142","05BB001",1941,"minimum",11,23,6.14,NA
"143","05BB001",1942,"minimum",2,17,6.37,"B"
"144","05BB001",1943,"minimum",2,28,5.04,"B"
"145","05BB001",1944,"minimum",3,13,5.55,"B"
"146","05BB001",1945,"minimum",4,11,6.99,NA
"147","05BB001",1946,"minimum",3,14,7.7,"B"
"148","05BB001",1947,"minimum",3,4,7.31,"B"
"149","05BB001",1948,"minimum",1,27,8.41,"B"
"150","05BB001",1949,"minimum",12,11,6.09,"B"
"151","05BB001",1950,"minimum",3,31,5.04,NA
"152","05BB001",1951,"minimum",3,5,4.25,"B"
"153","05BB001",1952,"minimum",4,1,6.06,NA
"154","05BB001",1953,"minimum",2,9,6,"B"
"155","05BB001",1954,"minimum",3,28,6.43,"B"
"156","05BB001",1955,"minimum",2,11,6.74,"B"
"157","05BB001",1956,"minimum",12,6,6.09,"B"
"158","05BB001",1957,"minimum",3,5,5.86,"B"
"159","05BB001",1958,"minimum",3,1,6.14,"B"
"160","05BB001",1959,"minimum",1,3,6.68,"B"
"161","05BB001",1960,"minimum",2,27,7.25,"B"
"162","05BB001",1961,"minimum",1,19,7.59,"B"
"163","05BB001",1962,"minimum",2,5,5.44,"B"
"164","05BB001",1963,"minimum",2,2,6.43,"B"
"165","05BB001",1964,"minimum",3,23,7.31,"B"
"166","05BB001",1965,"minimum",3,18,7.87,"B"
"167","05BB001",1966,"minimum",3,3,7.93,"B"
"168","05BB001",1967,"minimum",3,11,7.53,"B"
"169","05BB001",1968,"minimum",4,22,7.53,NA
"170","05BB001",1969,"minimum",1,31,7.5,"B"
"171","05BB001",1970,"minimum",11,23,5.21,"B"
"172","05BB001",1971,"minimum",3,22,5.41,"B"
"173","05BB001",1972,"minimum",3,1,7.16,"B"
"174","05BB001",1973,"minimum",1,4,6.71,"B"
"175","05BB001",1974,"minimum",3,22,6.09,"B"
"176","05BB001",1975,"minimum",3,8,5.66,"B"
"177","05BB001",1976,"minimum",3,23,5.95,"B"
"178","05BB001",1977,"minimum",11,21,5.83,"B"
"179","05BB001",1978,"minimum",1,30,5.75,"B"
"180","05BB001",1979,"minimum",2,9,5.4,"B"
"181","05BB001",1980,"minimum",3,4,4.14,"B"
"182","05BB001",1981,"minimum",2,10,7.24,"B"
"183","05BB001",1982,"minimum",1,16,6.15,"B"
"184","05BB001",1983,"minimum",12,2,5.83,NA
"185","05BB001",1984,"minimum",3,14,5.91,"B"
"186","05BB001",1985,"minimum",3,3,6.04,"B"
"187","05BB001",1986,"minimum",2,18,5.55,"B"
"188","05BB001",1987,"minimum",11,30,6.19,"B"
"189","05BB001",1988,"minimum",1,5,5.11,"B"
"190","05BB001",1989,"minimum",3,30,6.4,"B"
"191","05BB001",1990,"minimum",3,23,8.12,"B"
"192","05BB001",1991,"minimum",3,2,6.39,"B"
"193","05BB001",1992,"minimum",12,28,6.88,"B"
"194","05BB001",1993,"minimum",2,15,5.64,"B"
"195","05BB001",1994,"minimum",2,25,7.35,"B"
"196","05BB001",1995,"minimum",2,11,4.85,"B"
"197","05BB001",1996,"minimum",2,26,6.51,"B"
"198","05BB001",1997,"minimum",2,28,6.73,"B"
"199","05BB001",1998,"minimum",12,20,6.25,"B"
"200","05BB001",1999,"minimum",1,24,6.68,"B"
"201","05BB001",2000,"minimum",12,11,7.88,"B"
"202","05BB001",2001,"minimum",3,15,6.27,"B"
"203","05BB001",2002,"minimum",3,17,5.58,"B"
"204","05BB001",2003,"minimum",2,23,5.64,"B"
"205","05BB001",2004,"minimum",1,26,7.8,"B"
"206","05BB001",2005,"minimum",3,24,8.44,"B"
"207","05BB001",2006,"minimum",2,18,7.83,"B"
"208","05BB001",2007,"minimum",2,14,7.98,"B"
"209","05BB001",2008,"minimum",3,31,7,"B"
"210","05BB001",2009,"minimum",12,7,6.3,"B"
"211","05BB001",2010,"minimum",4,5,6.4,"B"
"212","05BB001",2011,"minimum",1,30,7.13,"B"
"213","05BB001",2012,"minimum",12,25,6.12,"B"
"214","05BB001",2013,"minimum",1,2,5.31,"B"
"215","05BB001",2014,"minimum",1,28,6.09,"B"
"216","05BB001",2015,"minimum",3,4,6.59,"B"
"217","05BB001",2016,"minimum",3,28,7.7,"B"
"218","05BB001",2018,"minimum",3,31,6.77,"B"
